text,label
i want a refund for my order,refund_request
refund my payment,refund_request
need refund asap,refund_request
money back for order,refund_request
cancel and refund,refund_request
refund not received yet,refund_request
please process refund,refund_request
i need my money back,refund_request
refund request for last purchase,refund_request
wrong charge refund,refund_request
refund pls,refund_request
refund needed,refund_request
return my money,refund_request
refund immediately,refund_request
order refund status,refund_request
refund not processed,refund_request
refund for damaged item,refund_request
cancel order refund me,refund_request
refund for duplicate payment,refund_request
refund still pending,refund_request
i want refund now,refund_request
refund for wrong item,refund_request
issue refund quickly,refund_request
refund please,refund_request
refund amount missing,refund_request
refund request raised,refund_request
refund status update,refund_request
refund issue unresolved,refund_request
refund my order asap,refund_request
refund request pending,refund_request

where is my order,order_status
track my order,order_status
order status update,order_status
when will it arrive,order_status
check delivery status,order_status
order not delivered yet,order_status
has it shipped,order_status
order pending why,order_status
track order id,order_status
delivery status please,order_status
order delayed,order_status
where order,order_status
order update,order_status
track order pls,order_status
shipment status,order_status
delivery update,order_status
order still processing,order_status
order dispatched?,order_status
order tracking info,order_status
expected delivery date,order_status
order status?,order_status
track package,order_status
delivery progress,order_status
order arrival time,order_status
status of my order,order_status
order stuck,order_status
shipment delay,order_status
delivery not received,order_status
order update pls,order_status
track shipment,order_status

app not working,technical_issue
cannot login,technical_issue
site is slow,technical_issue
payment not loading,technical_issue
checkout error,technical_issue
app crashing,technical_issue
login failed,technical_issue
error occurred,technical_issue
payment failed,technical_issue
technical issue,technical_issue
app broken,technical_issue
site down,technical_issue
system error,technical_issue
unable to access account,technical_issue
bug in app,technical_issue
screen stuck,technical_issue
not loading page,technical_issue
server error,technical_issue
failed transaction,technical_issue
cannot complete order,technical_issue
issue with login,technical_issue
app glitch,technical_issue
payment issue,technical_issue
website error,technical_issue
crash on startup,technical_issue
account not opening,technical_issue
slow performance,technical_issue
technical problem,technical_issue
error on screen,technical_issue
unable to proceed,technical_issue

bad service,complaint
not happy,complaint
very poor support,complaint
this is unacceptable,complaint
bad experience,complaint
i am disappointed,complaint
terrible service,complaint
frustrating experience,complaint
not satisfied,complaint
worst service ever,complaint
very bad,complaint
complaint about service,complaint
this is annoying,complaint
support is useless,complaint
poor quality,complaint
very frustrating,complaint
unhappy with service,complaint
this is wrong,complaint
not good service,complaint
very disappointed,complaint
bad customer support,complaint
unsatisfied experience,complaint
complaint regarding order,complaint
service is poor,complaint
not acceptable,complaint
really bad service,complaint
i am upset,complaint
this is terrible,complaint
worst experience,complaint
not satisfied at all,complaint

working hours,general_query
contact support,general_query
any discounts,general_query
company location,general_query
what services you offer,general_query
how does it work,general_query
need information,general_query
tell me more,general_query
what is policy,general_query
help needed,general_query
support contact,general_query
pricing details,general_query
service details,general_query
how to use,general_query
company info,general_query
what is this,general_query
more details please,general_query
general info,general_query
what do you do,general_query
need help,general_query
info about service,general_query
explain process,general_query
how system works,general_query
what options available,general_query
basic information,general_query
tell me details,general_query
how can i start,general_query
